10000 40000
8989 1631 453
367 6978 431
1775 4456 242
2362 2815 24
3260 283 397
4759 4474 258
4783 3406 65
7035 9647 341
1079 3583 416
5319 4846 474
7745 5593 68
8822 6981 118
8326 1687 338
9018 208 151
2678 7308 402
7676 1231 463
2283 3152 37
121 1967 6
4016 2854 296
1012 1975 430
6581 4686 147
4502 2182 217
5110 8689 137
3110 4782 10
9289 1254 131
725 5759 315
1161 3962 278
6131 2715 69
7593 9760 10
4594 7355 133
9486 7318 91
8691 8922 54
5236 497 262
7892 3847 265
7375 1837 74
9941 1157 63
1170 2348 337
9977 4220 374
6949 3569 435
4813 877 57
7848 2068 258
3358 7547 295
2747 5402 87
6184 6723 184
206 2576 274
3950 1431 35
4290 6766 90
2832 4835 101
6293 8562 36
8532 7285 110
4133 8608 155
3215 5934 94
7009 7729 483
4192 8682 455
4237 3912 264
3579 776 425
7918 3500 36
5330 9711 384
7942 8784 364
5347 7134 351
7543 6530 55
5519 3068 240
1354 2914 308
8371 4291 155
5202 2028 372
3101 7161 117
6984 4301 327
4991 2275 82
6411 394 227
8787 3114 274
8221 2013 210
6450 9862 154
3067 7645 56
6657 7701 68
3606 9479 19
8864 3230 19
9523 1616 459
92 5175 270
6957 1218 350
9466 5975 63
171 1019 343
7700 8343 97
9875 5014 348
2896 6103 269
1320 7165 390
5904 3820 400
3080 7371 224
8487 359 406
3136 2478 218
7031 198 422
5402 1678 201
2093 4840 247
9435 8660 11
1469 9401 465
2737 8305 79
3341 6058 385
7329 3865 207
8861 7116 318
7538 4075 311
1976 3051 175
789 4602 394
6380 9708 176
8635 7852 207
5421 8217 246
6752 1458 356
6086 8211 236
2338 1987 376
5736 8627 4
3246 7931 241
3739 353 379
3550 1158 226
5525 6321 333
206 9609 189
6701 5790 207
6431 4592 428
5272 9205 292
8807 5038 456
6259 9047 56
4009 5475 311
6490 9056 292
4002 777 206
1429 146 104
7340 655 163
1351 8065 6
7155 2753 222
214 4914 93
1000 7356 431
3298 3779 422
4926 8497 60
5959 2144 193
2580 9268 362
9955 7835 254
6719 936 377
7524 3642 327
2650 8173 42
9386 4420 454
8952 3916 198
3543 9596 348
5963 2401 176
2813 5125 136
3150 7432 179
3440 3609 246
5912 5475 38
3060 2629 33
4546 6335 212
6322 360 8
5537 2962 495
4842 6622 394
8561 8672 309
5720 7453 161
85 3597 98
1777 7438 422
3420 1292 452
4689 2079 406
9583 6980 15
355 9017 184
640 9284 153
2880 5613 437
9750 2450 241
2925 699 389
2735 6817 83
4936 9486 91
2555 5234 107
8941 5574 294
7581 3898 155
8021 9866 490
6373 3082 257
9363 6220 449
9680 4866 231
3657 9975 268
4870 6074 185
5668 5327 37
5379 8379 194
7173 2363 44
5087 4541 87
3874 1521 389
9078 4989 234
634 6673 222
2255 6953 463
2476 2879 500
8276 8566 47
1245 8373 80
7387 4643 172
2565 3596 18
4215 4366 337
8229 2482 126
9504 5021 6
8612 2970 121
1563 4001 423
2104 5171 348
9276 7403 216
329 7764 446
1879 8817 189
4063 5850 345
3970 3846 467
5485 9946 220
9450 7398 362
2924 6218 459
249 4909 72
363 1320 269
6571 8662 492
1442 9206 442
7942 9485 496
7851 85 147
2139 812 221
8350 163 442
6503 4396 256
9551 4665 183
9055 7127 247
772 4446 48
6989 7137 120
1795 8384 418
8390 3353 184
3323 6390 113
6296 6577 314
3342 9018 16
5716 8282 456
5742 3141 251
2988 2164 36
3127 3798 486
5349 4672 283
